dataset,family,series,sample,elements,size_bucket,bins,shape,gib_per_s,speedup_vs_main,speedup_vs_noncooperative
c32,even,main,I32,16777216,small,256,concentrated:1.0,652.3240843711837,1.0,
c32,even,main,I32,16777216,small,256,concentrated:0.75,651.5754096046606,1.0,
c32,even,main,I32,16777216,small,256,concentrated:0.5,662.0242462461955,1.0,
c32,even,main,I32,16777216,small,256,concentrated:0.25,663.799872725234,1.0,
c32,even,main,I32,16777216,small,256,concentrated:0.0,698.3562196685459,1.0,
c32,even,main,I32,16777216,small,256,powerlaw:0.75,645.2223152836592,1.0,
c32,even,main,I32,16777216,small,256,powerlaw:0.25,667.3718590676125,1.0,
c32,even,main,I32,16777216,small,256,hash_synonym,663.6600940970659,1.0,
c32,even,main,I32,16777216,small,256,stale_resident:0.5,653.3663929119673,1.0,
c32,even,main,I32,16777216,small,256,stale_resident:0.25,653.4748950358507,1.0,
c32,even,main,I32,16777216,small,256,temporal_phases:0.10,697.8951236072231,1.0,
c32,even,main,I32,16777216,small,256,strided_sweep,649.7687089183933,1.0,
c32,even,main,I32,16777216,small,256,sawtooth,653.8189939740341,1.0,
c32,even,main,I32,16777216,small,256,poison,697.5104011126773,1.0,
c32,even,main,I32,16777216,small,256,sawtooth:8192:2654435761:1,653.8834862499799,1.0,
c32,even,main,I32,16777216,small,512,concentrated:1.0,525.232524870838,1.0,
c32,even,main,I32,16777216,small,512,concentrated:0.75,480.5000383607232,1.0,
c32,even,main,I32,16777216,small,512,concentrated:0.5,457.75253470486444,1.0,
c32,even,main,I32,16777216,small,512,concentrated:0.25,434.1060039207564,1.0,
c32,even,main,I32,16777216,small,512,concentrated:0.0,697.8222641880399,1.0,
c32,even,main,I32,16777216,small,512,powerlaw:0.75,550.5814830785453,1.0,
c32,even,main,I32,16777216,small,512,powerlaw:0.25,588.113129944407,1.0,
c32,even,main,I32,16777216,small,512,hash_synonym,649.0144205334532,1.0,
c32,even,main,I32,16777216,small,512,stale_resident:0.5,532.5849212985148,1.0,
c32,even,main,I32,16777216,small,512,stale_resident:0.25,516.5672027114692,1.0,
c32,even,main,I32,16777216,small,512,temporal_phases:0.10,696.9525982783064,1.0,
c32,even,main,I32,16777216,small,512,strided_sweep,464.11483468862787,1.0,
c32,even,main,I32,16777216,small,512,sawtooth,473.0833437621139,1.0,
c32,even,main,I32,16777216,small,512,poison,696.7228226235703,1.0,
c32,even,main,I32,16777216,small,512,sawtooth:8192:2654435761:1,424.51393298147286,1.0,
c32,even,main,I32,67108864,middle,8,concentrated:1.0,618.3985504009265,1.0,
c32,even,main,I32,67108864,middle,8,concentrated:0.75,618.2527198963209,1.0,
